,author_name,books_name
1119,David Williams,"['Uncanny X-Force, Vol. 7: Final Execution - Book 2']"
1120,Phil Noto,"['Uncanny X-Force, Vol. 7: Final Execution - Book 2']"
1121,Jerome Opena,"['Uncanny X-Force, Vol. 7: Final Execution - Book 2']"
1122,Fabian Nicieza,['X-Force: Phalanx Covenant']
1123,Scott Lobdell,['X-Force: Phalanx Covenant']
1124,Todd Dezago,"['X-Force: Phalanx Covenant', 'The Amazing Spider-Man: The Complete Clone Saga Epic, Vol. 2']"
1125,Roger Cruz,['X-Force: Phalanx Covenant']
1126,Jan Duursema,['X-Force: Phalanx Covenant']
1127,Steve Epting,['X-Force: Phalanx Covenant']
1128,Terry Dodson,['X-Force: Phalanx Covenant']
1129,Tony S. Daniel,['X-Force: Phalanx Covenant']
1130,Jonathan Hickman,"['FF by Jonathan Hickman, Vol. 4', 'East of West #12']"
1131,Nick Dragotta,"['FF by Jonathan Hickman, Vol. 4', 'East of West #12']"
1132,Gabriel Hernandez Walta,"['FF by Jonathan Hickman, Vol. 4']"
1133,Andre Lima Araujo,"['FF by Jonathan Hickman, Vol. 4']"
1134,Mark Bagley,"['Avengers Assemble', 'Hämiksen nuoruus VII', 'The Amazing Spider-Man: The Complete Clone Saga Epic, Vol. 2']"
1135,Karen Hawkins,"['How to Abduct a Highland Lord (MacLean Curse, #1)']"
1136,Jonathan Sumption,"['Trial by Fire: The Hundred Years War, Volume 2', 'Trial by Fire: The Hundred Years War, Volume 2']"
1137,Malorie Blackman,"['Tell Me No Lies', 'Checkmate (Noughts & Crosses, #3)', 'Knife Edge (Noughts & Crosses, #2)', 'Noughts & Crosses', 'Black & White (Noughts & Crosses, #1)']"
1138,Tom Stoppard,['After Magritte: A Play. by Tom Stoppard']
1139,Molly Keane,['Time After Time']
1140,Emma Donoghue,"['Time After Time', 'חדר', 'Room', 'Room']"
1141,Dominic Cooke,['Noughts & Crosses']
1142,L.A. Banks,"['The Forbidden (Vampire Huntress, #5)', 'Vegas Bites: A Werewolf Romance Anthology', 'Surrender the Dark', 'Minion (Vampire Huntress, #1)']"
1143,Leighton Gage,['Every Bitter Thing (Chief Inspector Mario Silva #4)']
1144,NOT A BOOK,['عند الخطر إنسان آخر - من وحش لإنسان: والمزيد']
1145,Paul   Read,['Blame']
1146,Geoffrey Knight,['The Boy From Brighton']
1147,Emma Quay,['Rudie Nudie']
1148,B.V. Larson,['Starfire']
1149,Thomas LeMay,['Starfire']
1150,Doris Kearns Goodwin,"['Team of Rivals', 'No Ordinary Time']"
1151,Suzanne Toren,"['Team of Rivals', ""Women's Murder Club Box Set, Volume 1"", 'All of a Kind Family: Five Young Sisters in the turn of the 20th century  (Audio Book Download)', 'The Ballad of the Sad Cafe']"
1152,Nelson Runger,"['No Ordinary Time', 'The Second John McPhee Reader']"
1153,Dave Louapre,"[""The DeadJohnson's Big Incredible Day (Beautiful Stories for Ugly Children, #2)""]"
1154,Dan Sweetman,"[""The DeadJohnson's Big Incredible Day (Beautiful Stories for Ugly Children, #2)""]"
1155,Julie Dash,['Daughters of the Dust']
1156,Sylvia Plath,"['Ariel', 'Ariel', 'The Bell Jar']"
1157,Harold Robbins,['Tycoon']
1158,Robert Mankoff,['Complete Cartoons of the New Yorker']
1159,David Remnick,"['Complete Cartoons of the New Yorker', ""Lenin's Tomb: The Last Days of the Soviet Empire""]"
1160,Adam Gopnik,['Complete Cartoons of the New Yorker']
1161,Lawrence Sanders,['Capital Crimes']
1162,J.J.  Knight,['Fight for Her #3: MMA New Adult Contemporary Romantic Suspense (Fight for Her #3)']
1163,Judy Pasternak,"['Yellow Dirt: An American Story of a Poisoned Land and a People Betrayed', 'Yellow Dirt: An American Story of a Poisoned Land and a People Betrayed']"
1164,Laural Merlington,"['Yellow Dirt: An American Story of a Poisoned Land and a People Betrayed', 'The Bastard of Istanbul']"
1165,Derek Croxton,"['Peacemaking in Early Modern Europe: Cardinal Mazarin and the Congress of Westphalia, 1643-1648']"
1166,Kim Holden,"['Gus (Bright Side, #2)']"
1167,Lidia Dornet,"['Gus (Bright Side, #2)']"
1168,Alex Kydd,"['Gus (Bright Side, #2)']"
1169,Howard Norman,['What Is Left the Daughter']
1170,Francine Rivers,"[""Leota's Garden"", ""Leota's Garden""]"
1171,Jennifer  Anderson,"['Queen Mean (Honey Creek Royalty, #3)']"
1172,Kate Jacobs,['Laços Eternos']
1173,Carlos Franz,['Si te vieras con mis ojos']
1174,David Brin,"['Sundiver', 'The Practice Effect']"
1175,Twentieth Century Society,['100 Buildings 100 Years']
1176,Michael J. Sullivan,['The Rose and the Thorn (The Riyria Chronicles #2)']
1177,Nevil Shute,['On the Beach']
1178,John Bevere,['The Bait of Satan (Book with DVD): Living free from the deadly trap of offense']
1179,Sara Orwig,"[""The Texan's Forbidden Fiancee (Lone Star Legends #1)""]"
1180,Nicole Helm,['Too Close to Resist']
1181,Marion Faith Laird,['No Place to Run']
1182,Kimberly Rose Johnson,['A Romance Rekindled']
1183,Hannah Alexander,['Collateral Damage']
1184,Kendra E. Ardnek,"[""Sew, It's a Quest (The Bookania Quests, #1)""]"
1185,Parry Ebonysatin Brown,['The Shirt off His Back']
1186,J.R. Ripley,"['Murder in St. Barts (Gendarme Trenet, #1)']"
1187,Glenn Meganck,"['Murder in St. Barts (Gendarme Trenet, #1)']"
1188,Simon Wilde,['Ian Botham: The Power and the Glory']
1189,Ann Charles,"['Jackrabbit Junction Jitters (Jackrabbit Junction, #2)']"
1190,Giorgio Amitrano,['1Q84. Libro 1 e 2 aprile-settembre']
1191,Frederica Patmore,['The Knitting Book']
1192,Vikki Haffenden,['The Knitting Book']
1193,Dorothea Lasky,['Poetry is Not a Project']
1194,Charles Piddock,['National Geographic Investigates: Outbreak: Science Seeks Safeguards for Global Health']
1195,Steve Hamilton,"['Winter Of The Wolf Moon (Alex McKnight, #2)']"
1196,Ellen Raskin,['The Tattooed Potato and Other Clues']
1197,Sally Cabot Gunning,"[""The Widow's War""]"
1198,Idra Novey,['Ways to Disappear']
1199,rDy lnmSy,['داخل المكتبة.. خارج العالم']
1200,s`d lbz`y,['داخل المكتبة.. خارج العالم']
1201,Gail Carriger,"['Manners & Mutiny', 'Manners & Mutiny']"
1202,Jeff Kinney,"['The Wimpy Kid Movie Diary, How Greg Heffley Went Hollywood, The Story of all Three Movies']"
1203,Vince Flynn,"['Act of Treason (Mitch Rapp, #9)']"
1204,George Guidall,"['Act of Treason (Mitch Rapp, #9)', ""Damn Yankees: Twenty-Four Major League Writers on the World's Most Loved (and Hated) Team""]"
1205,Lisa Renee Jones,"['Provocative (White Lies Duet, #1)']"
1206,Nick Pollotta,['That Darn Squid God']
1207,James Clay,['That Darn Squid God']
1208,Hugh Howey,"['Dust (Silo, #3)', 'The Box', 'Wool (Wool, #1)', 'Turnus (Silo, #2)', 'Return to Danvar (Sand, #3)']"
1209,Nicholas Sparks,"['At First Sight', 'Weg der Träume', 'A Bend in the Road', 'Le parole che non ti ho detto', 'The Lucky One', 'At First Sight', 'El viaje más largo', 'Usko rakkauteen']"
1210,Emile Bravo,"[""Spirou - Le journal d'un ingénu""]"
1211,Julia Eccleshare,['Dream Days']
1212,Debra McFarlane,['Dream Days']
1213,Vivien Armstrong,['The Pay-Off']
1214,Lilian Moore,['Junk Day on Juniper Street']
1215,Arnold Lobel,['Junk Day on Juniper Street']
1216,Madison Keller,"[""Snow Flower: Arara's Tale (Flower's Fang, #0.5)""]"
1217,Paul Burston,['Shameless']
1218,Karen Robards,"['Shameless (Banning Sisters, #3)', 'One Summer', 'Her Last Whisper', 'One Summer']"
1219,Noelle N.,['Breakup Formula']
1220,Mychael Black,"[""The Duke's Husband""]"
1221,Shayne Carmichael,"[""The Duke's Husband""]"
1222,Joanne Clancy,['Open Your Eyes (The Missing #1)']
1223,Jen A. Durand,['Shy Meets Bold (Lipstick Diaries Book 1)']
1224,Megan Erickson,"['Rencontre virtuelle (Amours en ligne #1)', 'Springtime is for Lovers: An Avon Impulse eBook Sampler']"
1225,Santino Hassell,['Rencontre virtuelle (Amours en ligne #1)']
1226,Alex Hernandez,['Tooth and Talon']
1227,Robin Forsythe,['Spirit Murder Mystery']
1228,Sheryn MacMunn,['Finding Out']
1229,Antonio Velasco Pina,['Tlacaélel: el azteca entre los aztecas']
1230,J.R. Ward,"['Crave (The Fallen Angels, #2)', 'Crave (Fallen Angels, #2)', 'Blood Vow (Black Dagger Legacy, #2)', 'Rapture (The Fallen Angels, #4)', 'The Black Dagger Brotherhood: An Insider’s Guide', 'Blood Kiss (Black Dagger Legacy, #1)']"
1231,Eric G. Dove,"['Crave (The Fallen Angels, #2)', 'Crave (Fallen Angels, #2)']"
1232,Heinrich Boll,"['The Clown', ""What's to Become of the Boy?: Or, Something to Do with Books""]"
1233,Leila Vennewitz,"['The Clown', ""What's to Become of the Boy?: Or, Something to Do with Books""]"
1234,M.J. Arlidge,"['Α μπε μπα μπλομ (Helen Grace, #1)']"
1235,Sophia Tappa,"['Α μπε μπα μπλομ (Helen Grace, #1)']"
1236,Adriaan Basson,['Zuma Exposed']
1237,Alice Alfonsi,"[""Anakin's Race For Freedom"", 'Star Wars Episode I: The Phantom Menace Scrapbook']"
1238,Maria Semple,"['Kde se touláš, Bernadetto']"
1239,Olga Bartova,"['Kde se touláš, Bernadetto']"
1240,Patricia C. Wrede,"['Star Wars, Episode I, the Phantom Menace', 'Searching for Dragons (Enchanted Forest Chronicles, #2)']"
1241,Ryder Windham,"['Star Wars Episode I: The Phantom Menace Scrapbook', 'The Bartokk Assassins (Star Wars: Episode I Adventures, #2)', 'Star Wars: The Ultimate Visual Guide: Updated and Expanded']"
1242,Jenny Colgan,"['Die kleine Bäckerei am Strandweg (Little Beach Street Bakery, #1)']"
1243,Sonja Hagemann,"['Die kleine Bäckerei am Strandweg (Little Beach Street Bakery, #1)']"
1244,Tyler Oakley,['Binge']
1245,Salla Simukka,['As Black As Ebony (Snow White Trilogy)']
1246,S.J. Bolton,"['Nu ser du mig (Lacey Flint, #1)']"
1247,Mariana Enriquez,['Ce-am pierdut în foc']
1248,Marin Malaicu-Hondrari,['Ce-am pierdut în foc']
1249,Christiane Heggan,['Where Truth Lies']
1250,Lynn Bulock,"['Where Truth Lies (The Secrets of Stoneley, #6)']"
1251,S. Simone Chavous,"['Choices of Fate (Fate, #1)']"
1252,Peter Unwin,['Canadian Folk: Portraits of Remarkable Lives']
1253,Glen Johnson,"['Ruin (The Sixth Extinction, #2)']"
1254,Jane Robins,['White Bodies']
1255,Robyn M. Pierce,"['Destructive Embrace (The Lanistter Chronicles, #2)']"
1256,Peter Prasad,['Campaign Zen 500bc - 2012: Colonial March Thru Election History Told in Tavern Doggerel']
1257,Andreas Fohr,"['Der Prinzessinnenmörder (Wallner & Kreuthner, #1)']"
1258,J.A. Saare,"[""The Ripple Effect (Rhiannon's Law #3)"", ""The Renfield Syndrome (Rhiannon's Law, #2)""]"
1259,Washington Irving,"['Tales of the Alhambra', 'The Great English Short-Story Writers, Volume I']"
1260,Brent A. Barlow,['What Husbands Expect of Wives']
1261,Per Lundgren,['Kapitalismen avslöjad! : Den gigantiska bankbluffen – ett enastående politiskt och ekonomiskt bedrägeri : NYA DEL I : PROBLEMET– EN ÖVERSIKT']
1262,Jimmy Liao,['The Sound of Colors: A Journey of the Imagination']
1263,Sarah L. Thomson,['The Sound of Colors: A Journey of the Imagination']
1264,Richard Hammond,['Or Is That Just Me?']
1265,Fern Michaels,"['Holiday Magic', 'Breaking News']"
1266,Cathy Lamb,['Holiday Magic']
1267,Mary Carter,['Holiday Magic']
1268,Terri DuLong,['Holiday Magic']
1269,N.E. Henderson,"['Silent No More (Silent, #1)']"
1270,Harlow Giles Unger,"[""The Last Founding Father: James Monroe and a Nation's Call to Greatness""]"
1271,Karen Charlton,"['The Heiress of Linn Hagh (The Detective Lavender Mysteries, #1)']"
1272,Octavia E. Butler,"['Fledgling', 'Parable of the Sower (Earthseed, #1)']"
1273,T.H. Rivers,['The Anniversary']
1274,Christiane F.,['Huumeasema Zoo']
1275,Alberto Hazan,['The League of Freaks and the Secret Key']
1276,Monteiro Lobato,['Memórias da Emília']
1277,Paulo Borges,['Memórias da Emília']
1278,William L. Urban,['Teutonic Knights']
1279,Meryl Streep,['Share: The Cookbook That Celebrates Our Common Humanity']
1280,A.D. Mills,['A Dictionary of English Place-Names']
1281,Jerzy Jarzebski,['Astronauci (Stanisław Lem. Dzieła #22)']
1282,Dandi Daley Mackall,['Secret Society Of The Left Hand']
1283,Tui T. Sutherland,"['Smarty-Pants Sheltie (Pet Trouble, #6)', 'Mud-Puddle Poodle (Pet Trouble, #3)']"
1284,Various,"['Daily Wisdom for Women 2016 Devotional Collection', 'Японски разкази', 'Gaudy Night (Lord Peter Wimsey, #12)']"
1285,Greg Johnson,['101 Family Meal-Time Devotions']
1286,Saad Elkhadem,['The Plague']
1287,Saad El-Gabalawy,['The Plague']
1288,Steven Gaines,['One of These Things First']
1289,Jeffrey Marks,['What Fresh Smell (Marissa Scott Mysteries Book 3)']
1290,Ellie Masters,"[""Heart's Insanity: an Angel Fire Rock Romance""]"
1291,Todd McGrain,['The Lost Bird Project']
1292,Nicolas Barreau,['Париж винаги си заслужава']
1293,Nikola Baro,['Париж винаги си заслужава']
1294,Liudmila Kostova,['Париж винаги си заслужава']
1295,Rumiko Takahashi,"['Rumic Theater: One Or Double', 'One Pound Gospel, Volume 1', 'One Pound Gospel, Volume 3. Knuckle Sandwich.', 'Maison Ikkoku, Volume 2 (Maison Ikkoku, #2)']"
1296,Jennifer Ryan,['Springtime is for Lovers: An Avon Impulse eBook Sampler']
1297,Julie Brannagh,['Springtime is for Lovers: An Avon Impulse eBook Sampler']
1298,Codi Gary,['Springtime is for Lovers: An Avon Impulse eBook Sampler']
1299,Maya Rodale,"['Springtime is for Lovers: An Avon Impulse eBook Sampler', 'The Bad Boy Billionaire: What a Girl Wants (Bad Boys & Wallflowers #3.5)']"
1300,Sabrina Darby,['Springtime is for Lovers: An Avon Impulse eBook Sampler']
1301,Darlene Panzera,['Springtime is for Lovers: An Avon Impulse eBook Sampler']
1302,Laura Simcox,['Springtime is for Lovers: An Avon Impulse eBook Sampler']
1303,Shelly Bell,['Springtime is for Lovers: An Avon Impulse eBook Sampler']
1304,Jens H. Petersen,['The Kingdom of Fungi']
1305,Saladin Ahmed,['El trono de la luna creciente']
1306,Mark Harris,['The Southpaw']
1307,Dante Alighieri,"['Circles of Hell', 'Vita Nuova: Italian Text with Facing English Translation']"
1308,Scott Morse,"['Southpaw', 'The Barefoot Serpent']"
1309,Yuna Kagesaki,['碧海のAiON [Hekikai no AiON] 11']
1310,Ying Qi  You Na,['碧海のAiON [Hekikai no AiON] 11']
1311,Della Galton,['How to Write and Sell Short Stories']
1312,Robert Roman,['What Not to Fear']
1313,John Kenneth Muir,['Space: 1999 The Forsaken']
1314,David Sedaris,['Σκίουρος ζητεί βερβερίτσα']
1315,Meg Stout,"[""The Complete Idiot's Guide to Aquaponic Gardening""]"
1316,Tim Mann,"[""The Complete Idiot's Guide to Aquaponic Gardening""]"
1317,Emma Straub,"[""Laura Lamont's Life in Pictures""]"
1318,Alison Jay,['Christmastime']
1319,Chris Van Dusen,['If I Built a House']
1320,Sere Prince Halverson,['The Underside of Joy']
1321,Mary DeTurris Poust,['Everyday Divine: A Catholic Guide to Active Spirituality']
1322,Sophia James,['Masquerading Mistress']
1323,E.K. Blair,['Echo (Black Lotus #2)']
1324,Max Allan Collins,"['The Pearl Harbor Murders (Disaster, #3)', 'Supreme Justice (Reeder and Rogers #1)']"
1325,Beth Kery,"['Exposed to You (One Night Of Passion, #2)', 'Make Me Forget (Make Me, #1)']"
1326,Calvin Vraa,['When the Warflowers Bloomed']
1327,Mickey S.,['Second Wind']
1328,L.A. Fiore,"['Beautifully Decadent (Beautifully Damaged, #3)', 'Devil You Know (Lost Boys #1)']"
1329,Ayad Akhtar,['Disgraced: A Play']
1330,Patrick L Kerwin,['True Type Tales: Real Stories about the Power of Personality Type in Everyday Life']
1331,Ambrose Bierce,"['Can Such Things Be?', 'An Introduction to Fiction', 'The Damned Thing', ""The Devil's Dictionary and Other Works"", 'An Occurrence at Owl Creek Bridge and Other Stories', ""The Devil's Dictionary"", 'The Eyes of the Panther']"
1332,Gary Henicke,['Island Unknown']
1333,Laney McMann,['Tied (Fire Born #1)']
1334,Julio Cortazar,"['Takipçi', 'Cuentos Completos II: 1969-1982', 'Cuentos Completos I (Cuentos completos, #1)', 'Diario di Andrés Fava']"
1335,Jose Munoz,['Takipçi']
1336,Pinar Savas,['Takipçi']
1337,Julie Anne Lindsey,['Murder by the Seaside']
1338,Lynne Graham,['A Ring to Secure His Heir']
1339,Brian  Moore,"[""Beware of the Dog Rugby's Hard Man Reveals All by Moore, Brian ( Author ) ON Dec-09-2010, Paperback""]"
1340,Yukiya Murasaki,['Haken no Kouki Altina 8 [覇剣の皇姫アルティーナ 8 ] (Haken no Kouki Altina #8)']
1341,Robert A. Heinlein,['Farmer in the Sky']
1342,Kiera Cass,"['A Herdeira (A seleção, #4)']"
1343,Nathan  Hill,['The Nix']
1344,Herge,"['ক্যালকুলাসের কান্ড (টিনটিন, #১৮)', 'The Red Sea Sharks', 'The Valley Of The Cobras', 'Destination Moon (Tintin, #16)', 'The Secret of the Unicorn (Tintin, #11)']"
1345,Piers Anthony,"['Pornucopia (Pornucopia, #1)']"
1346,Anya Howard,['Submissive']
1347,Wallace O. Chariton,['100 Days in Texas']
1348,Carrie Aarons,['Ghost in His Eyes']
1349,Charles Bowden,['Some of the Dead Are Still Breathing: Living in the Future']
1350,Rainer M. Schroder,"['Im Zeichen des Falken (Die Falken-Saga, #1)', 'Auf der Spur des Falken (Die Falken-Saga, #2)']"
1351,Sara Whitford,"[""The Smuggler's Gambit (Adam Fletcher Adventure #1)""]"
1352,Stephen Hawking,['Na ramenih velikanov : zgodovinski mejniki v fiziki']
1353,Dinko Telecan,['Tvrdo kuhana zemlja čudesa i Kraj svijeta']
1354,Paul Doherty,"['The Templar (Templars, #1)', ""The Devil's Hunt (Hugh Corbett, #10)""]"
1355,Kadorienne,"['Le Bel Homme Sans Merci, or, The Unicorn Tamer']"
1356,S.R. Wilsher,"['The Collection of Heng Souk', 'The Seventeen Commandments of Jimmy September']"
1357,K.A. Young,['Legends of the Crypt (Molly Maddison #2)']
1358,Robbyn Smith van Frankenhuyzen,['I Love You Just Enough']
1359,Gijsbert van Frankenhuyzen,['I Love You Just Enough']
1360,Michael Powers,['Selfless']
1361,Helen Bianchin,['Ujian Bagi Sang Suami | The Husband Test']
1362,Julianna Baggott,"['Burn (Pure, #3)']"
1363,A Hultquist,"[""A Day with Parkinson's""]"
1364,Joanne Lew-Vriethoff,"[""A Day with Parkinson's""]"
1365,Nicola Claire,"['Dancing Dragon (Kindred, #5)']"
1366,Roni Dunevich,['Hunted (Alex Bartal - Original Language Order #1)']
1367,Daniel Falatko,['Travels and Travails of Small Minds']
1368,Rebecca  Johnson,"[""Oliver's Landing"", 'Nezbedný poník (Juliet, Nearly a Vet #2)']"
1369,Steve Parish,"[""Oliver's Landing""]"
1370,Fiona McIntosh,"['Royal Exile (Valisar, #1)']"
1371,K.L. Grayson,['The Truth About Lennon']
1372,Mike Farrell,['Just Call Me Mike: A Journey to Actor and Activist']
1373,E.M. Forster,['A Room with a View']
1374,Barbara Constantine,['Und dann kam Paulette']
1375,Ina Kronenberger,['Und dann kam Paulette']
1376,Ciaran Carson,['The Táin']
1377,Emma Green,"['Les 100 Facettes de Mr. Diamonds - Volume 12 : Aveuglant', 'Les 100 Facettes de Mr. Diamonds - Volume 11 : Incandescent']"
1378,Cindy Gerard,"['To the Edge (Bodyguard, #1)', 'Desert Heat']"
1379,Vi Voxley,"[""Alien Warrior's Wife (Brion Brides, #2)"", ""Nadar (Alien Warlord's Conquest, #1)""]"
1380,Jayne Castle,"['Midnight Crystal (Dreamlight Trilogy, #3; Arcane Society, #9; Harmony, #7)']"
1381,Nicole S. Goodin,"['Rushed (Love like Yours, #1)']"
1382,Phoebe Damrosch,['Service Included: Four-Star Secrets of an Eavesdropping Waiter']
1383,Petros Markaris,['I labirinti di Atene']
1384,Andrea Di Gregorio,['I labirinti di Atene']
1385,Alexandra Potter,"['Není přání jako přání', 'Me And Mr Darcy']"
1386,Dagmar Brejlova,['Není přání jako přání']
1387,Jean Ekman Adams,['A Cowgirl and Her Horse']
1388,Piergiorgio Odifreddi,"[""C'era una volta un paradosso. Storie di illusioni e verità\xa0rovesciate""]"
1389,Pauline Baird Jones,"['Tangled in Time (Project Enterprise, #3)']"
1390,Piero Colaprico,['La primavera dei maimorti']
1391,Pietro Valpreda,['La primavera dei maimorti']
1392,Pino Cacucci,['Le balene lo sanno. Viaggio nella California messicana']
1393,Rebekah Isaacs,"['Buffy the Vampire Slayer: Own It, Part 1 (Season 10, #26)', 'Buffy the Vampire Slayer: I Wish, Part 2 (Season 10, #7)']"
1394,Joss Whedon,"['Buffy the Vampire Slayer: Own It, Part 1 (Season 10, #26)', 'Buffy the Vampire Slayer: Welcome to the Team, Part 4 (Season 9, #19)', 'La lunga strada verso casa', 'Buffy the Vampire Slayer: I Wish, Part 2 (Season 10, #7)', 'Revenant (Buffy the Vampire Slayer: Season 3, #11)', 'Immortal (Buffy the Vampire Slayer: Season 3, #9)', 'Astonishing X-Men, Volume 4', 'The Cabin in the Woods: The Official Movie Novelization']"
1395,Lili St. Germain,"['Alternate (Gypsy Brothers, #7.5)', 'Empire']"
1396,Laura L. Sullivan,['Guardian of the Green Hill']
1397,David Wyatt,['Guardian of the Green Hill']
1398,John Whitfield,['People Will Talk: The Surprising Science of Reputation']
1399,Paris   Singer,['The Skull Collector']
1400,Faye Harnest,['Girl Fight']
1401,Celia Kyle,"['On the Growl', 'Roaring Up the Wrong Tree (Grayslake, #3)']"
1402,Lynn Red,['On the Growl']
1403,Jessica Sims,"['On the Growl', 'Beauty Dates the Beast (Midnight Liaisons, #1)']"
1404,Flora Dare,['On the Growl']
1405,Marina Maddix,['On the Growl']
1406,Lisa Jane,"['De-Cluttering For Disorganized People - How To Become Clean, Organized, And Stress FREE']"
1407,Pamela Tracy,"['The Bluebonnet Bride (Lone Star Brides #1)', 'A Heartwarming Thanksgiving']"
1408,Paul Strathern,['90 Dakikada Konfüçyüs']
1409,Yucel Sivri,['90 Dakikada Konfüçyüs']
1410,Colleen Coble,"['Mermaid Moon (Sunset Cove, #2)', 'Anathema', 'Beyond a Doubt (Rock Harbor Series #2)']"
1411,Christian Winn,['Naked Me']
1412,Nancy Lee Badger,"['My Dark Highlander (Kilted Athletes Through Time, #2)']"
1413,Kristy K. James,['Reluctant Guardian']
1414,Anne Perry,"['A Christmas Beginning (Christmas Stories, #5)', 'Ombre su Belgrave Square']"
1415,Ruth Downie,['Semper Fidelis: A Novel of the Roman Empire']
1416,Simon Vance,"['Semper Fidelis: A Novel of the Roman Empire', 'Don Quixote', 'The Girl Who Played With Fire (Millennium, #2)']"
1417,Joy Fielding,"['Still Life', 'Grand Avenue']"
1418,Sarah York,['Remembering Well: Rituals for Celebrating Life and Mourning Death']
1419,Joan Lingard,"['Into Exile (Kevin and Sadie, #3)']"
1420,Estelle Laure,['La magia de las pequeñas cosas']
1421,Ron Roy,"['The Bald Bandit', 'Detective Camp (A to Z Mysteries: Super Edition, #1)', 'The Kidnapped King (A to Z Mysteries, #11)']"
1422,John Steven Gurney,"['The Bald Bandit', 'Detective Camp (A to Z Mysteries: Super Edition, #1)', 'The Kidnapped King (A to Z Mysteries, #11)']"
1423,Scott Spencer,['Men In Black']
1424,Amy Lane,"['Behind the Curtain', 'Racing for the Sun', 'A Solid Core of Alpha', 'Clear Water', 'Sidecar']"
1425,Hugh Bradley,['Behind the Curtain']
1426,Joseph Rael,['Being & Vibration']
1427,Mary Elizabeth Marlow,['Being & Vibration']
1428,T.O. Munro,"['Wrath of the Medusa (Bloodline Trilogy, #2)']"
1429,Anne Hillerman,['Rock with Wings']
1430,Christina Delaine,['Rock with Wings']
1431,Lisa  Williamson,['The Art of Being Normal: A Novel']
1432,Margreet Dietz,['From My Mother: a novel']
1433,Will Ottinger,['A Season for Ravens']
1434,C.P. Snow,['The Affair']
1435,Masanobu Fukuoka,"[""La révolution d'un seul brin de paille""]"
1436,Steve Collins,"[""The Glory Boys: True-life Adventures of Scotland Yard's SWAT, the Last Line of Defence in the War Against International Crime""]"
1437,Angela Nanetti,['Kuyrukluyıldız Eken Adam']
1438,Traci Tyne Hilton,['A Cup of Cozy']
1439,Linda P. Kozar,['A Cup of Cozy']
1440,Deborah Malone,['A Cup of Cozy']
1441,S. Dionne Moore,"['A Cup of Cozy', 'Promise of Time']"
1442,C.L. Ragsdale,['A Cup of Cozy']
1443,Nancy Jill Thames,['A Cup of Cozy']
1444,Sandra Brown,"['Charada', 'Hello, Darkness - Selamat Datang, Kegelapan', 'The Witness - Sang Saksi']"
1445,Hillary Manton Lodge,['A Table by the Window (Two Blue Doors #1)']
1446,Erica Cope,"['In the Shadows (Lark, #2)']"
1447,S.M. Mala,['Bless This Love']
1448,Olivier Barde-Cabucon,['Casanova y la mujer sin rostro']
1449,Teresa Clavel,['Casanova y la mujer sin rostro']
1450,Debbie Herbert,['Changeling']
1451,Juanita Bynum,['The Threshing Floor: How to Know Without a Doubt that God Hears Your Every Prayer']
1452,Marilyn French,"['My Summer With George', ""Her Mother's Daughter""]"
1453,Robert J. Hogan,['G-8 and His Battle Aces 11: The Hurricane Patrol']
1454,Emmanuel Le Roy Ladurie,['Le mendiant et le professeur (Le Siècle des Platter 1499-1628 #1)']
1455,Jennifer Friedman,['Surviving Heroin: Interviews with Women in Methadone Clinics']
1456,Marixsa Alicea,['Surviving Heroin: Interviews with Women in Methadone Clinics']
1457,Laurie Bellesheim,['Surviving Emily']
1458,Jeanna Pride,['Scarlet Dreams: A Supernatural Story of Sex and Punishment (Incubus Book 1)']
1459,Lawrence Block,"['Make Out With Murder (Chip Harrison, #3)', 'The Night and the Music: The Matthew Scudder Stories', 'Writing the Private Eye Novel: A Handbook by the Private Eye Writers of America', 'The Triumph of Evil', ""Tanner's Twelve Swingers (Evan Tanner #3)""]"
1460,Miranda Forbes,['Indecent Proposals']
1461,Giselle Renarde,"['Indecent Proposals', 'Bound for Trouble: BDSM Erotica For Women', ""Can't Get Enough""]"
1462,Kate Dominic,['Indecent Proposals']
1463,Eva Hore,['Indecent Proposals']
1464,Debra Gray De Noux,['Indecent Proposals']
1465,O'Neil de Noux,['Indecent Proposals']
1466,L.A. Fields,"['Indecent Proposals', 'Unspeakable Horror: From the Shadows of the Closet']"
1467,David Hawthorne,['Indecent Proposals']
1468,Josie Jordan,['Indecent Proposals']
1469,Lynn Lake,['Indecent Proposals']
1470,Ray Cluley,['Indecent Proposals']
1471,Renatto Garcia,['Indecent Proposals']
1472,Esmeralda Greene,['Indecent Proposals']
1473,D.C. Kohn,['Indecent Proposals']
1474,Landon Dixon,['Indecent Proposals']
1475,Poppy Drew,['Indecent Proposals']
1476,Sommer Marsden,"['Indecent Proposals', 'Bound for Trouble: BDSM Erotica For Women']"
1477,Alcamia,['Indecent Proposals']
1478,J.  Smith,['Indecent Proposals']
1479,Paul Kennedy,['Ascesa e declino delle grandi potenze']
1480,Andrea Cellino,['Ascesa e declino delle grandi potenze']
1481,Bregje Hofstede,['De hemel boven Parijs']
1482,Curt Riess,['Joseph Goebbels']
1483,Janet Stevens,['Cook-a-Doodle-Doo!']
1484,Susan Stevens Crummel,['Cook-a-Doodle-Doo!']
1485,Barbara J.   Taylor,"['Sing in the Morning, Cry at Night']"
1486,Richard Greenberg,['The Assembled Parties']
1487,Rebecca Solnit,['Men Explain Things to Me']
